School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
Syracuse,2023,11,5,6,0,,,-0.4,-4.4,22.2,26.1,Dino,Babers,2015-12-15T00:00:00.000Z,"0,8"
Syracuse,2023,2,1,1,0,,,-0.4,-4.4,22.2,26.1,Nunzio,Campanile,,"0,8"
TCU,2023,12,5,7,0,17,,8.6,7.9,33.5,25.3,Sonny,Dykes,2021-11-29T00:00:00.000Z,
Temple,2023,12,3,9,0,,,-19.6,-21,18.6,37.8,Stan,Drayton,2021-12-15T00:00:00.000Z,
Tennessee,2023,13,9,4,0,12,17,9.1,16.2,34.9,19.2,Josh,Heupel,2021-01-27T00:00:00.000Z,
Texas,2023,14,12,2,0,11,3,22,23.2,39.3,17.7,Steve,Sarkisian,2021-01-02T00:00:00.000Z,
Texas A&M,2023,10,6,4,0,23,,11.5,15.6,34.5,18.8,Jimbo,Fisher,2017-12-01T00:00:00.000Z,"0,8"
Texas A&M,2023,3,1,2,0,23,,11.5,15.6,34.5,18.8,Elijah,Robinson,,"0,8"
Texas State,2023,13,8,5,0,,,-4.9,-1.6,31.2,33.8,G.J.,Kinne,,
Texas Tech,2023,13,7,6,0,,,7.3,6.1,29.6,24.7,Joey,McGuire,2021-11-08T00:00:00.000Z,
Toledo,2023,14,11,3,0,,,0.8,3.7,25.5,21.7,Jason,Candle,2015-12-02T00:00:00.000Z,
Troy,2023,1,0,1,0,,,8.7,9.8,30.7,20.1,Greg,Gasparato,,"0,8"
Troy,2023,13,11,2,0,,,8.7,9.8,30.7,20.1,Jon,Sumrall,2021-12-02T00:00:00.000Z,"0,8"
Tulane,2023,13,11,2,0,24,,2,2.8,26.5,24.4,Willie,Fritz,2015-12-11T00:00:00.000Z,"0,6"
Tulane,2023,1,0,1,0,24,,2,2.8,26.5,24.4,Slade,Nagle,,"0,6"
Tulsa,2023,12,4,8,0,,,-12.7,-13.7,20.9,34.7,Kevin,Wilson,,
UAB,2023,12,4,8,0,,,-14.3,-14.7,26.9,39.6,Trent,Dilfer,,
